category_code,funding_required,founded_year,success_ratio,problem_importance,solution_uniqueness,usp_strength,business_model_clarity,target_market_size,team_experience_years,equity_offered
music,375000,2007,1,8,5,8,8,27,12,6.4
enterprise,40100000,2000,1,9,5,9,7,2,5,16.09
web,2600000,2009,1,7,10,9,7,93,5,19.96
software,40000000,2002,1,9,10,9,6,38,3,21.21
games_video,1300000,2010,0,9,7,7,5,3,3,13.28
network_hosting,7500000,2002,0,6,9,8,9,16,4,9.08
software,26000000,2005,1,7,5,10,8,94,2,5.85
finance,34100000,2004,1,7,6,7,8,40,0,16.59
mobile,9650000,2002,1,7,8,5,10,2,14,14.06
web,5750000,2005,1,9,5,9,7,81,0,23.97
mobile,27500000,2000,1,8,5,7,5,41,11,6.21
web,10400000,2006,0,7,7,7,6,12,14,18.71
web,350000,2004,0,10,9,5,5,35,12,5.5
education,9950000,2007,1,9,8,6,10,65,6,8.43
software,10700000,2001,1,6,10,8,4,55,0,14.07
public_relations,200000,1999,0,8,10,10,5,45,0,14.1
security,49000000,2003,0,10,6,6,10,79,2,18.71
games_video,25000000,2000,1,10,8,9,4,90,9,23.2
web,4575000,2010,1,6,10,7,4,85,14,17.78
enterprise,28000000,2007,0,8,6,5,6,62,3,24.07
software,4355000,2001,1,9,9,5,9,49,3,22.63
other,15000000,2004,0,5,6,8,7,95,1,16.69
web,3170000,2002,0,8,10,6,5,25,0,21.68
mobile,2300000,2008,0,6,7,8,4,23,2,17.85
public_relations,455000,2007,0,10,7,7,5,24,10,6.57
software,13000000,2002,1,9,7,8,9,38,3,19.81
public_relations,15000000,2003,1,8,10,10,7,28,2,6.9
photo_video,3800000,2008,1,5,7,5,9,21,7,16.88
web,299500000,2007,1,5,8,5,7,54,13,19.05
hardware,1000000,2005,1,7,9,9,8,18,9,6.33
other,10500000,2007,0,7,6,9,7,36,0,9.62
public_relations,8600000,2001,1,6,6,7,6,99,13,23.31
software,5000000,2006,0,8,10,10,9,45,1,17.33
mobile,2304999,2011,1,8,7,6,4,73,12,9.93
security,25000,2009,0,10,7,8,8,53,6,18.81
software,4000000,2004,0,10,5,7,6,30,3,16.94
software,14600000,2007,0,10,9,9,5,60,7,15.03
hardware,44000000,2005,0,7,8,8,9,98,10,24.52
ecommerce,1822922,2008,1,8,6,9,10,32,12,18.67
advertising,29915001,2006,1,8,5,8,10,67,2,12.51
enterprise,33000000,2006,1,5,5,6,4,67,5,21.0
mobile,125000,2011,1,7,10,7,7,28,8,22.69
travel,4000000,2008,0,9,6,8,4,44,0,7.5
enterprise,10000000,2004,1,7,10,10,10,79,0,9.01
advertising,6000000,2002,1,9,8,5,5,41,7,9.32
software,25000000,2003,1,5,5,10,8,63,2,18.82
fashion,3750000,2009,1,6,5,10,8,23,4,17.06
software,3000000,2009,1,8,9,5,9,75,0,17.38
software,1155000,2010,1,5,8,10,8,48,4,23.82
software,10000000,2002,1,8,5,8,9,32,10,20.52
web,3000000,2006,1,10,8,8,9,57,5,7.56
mobile,11500000,2009,1,6,6,8,9,33,7,11.95
web,5000000,2004,1,6,7,5,10,24,12,13.71
public_relations,29000000,2000,1,5,5,10,10,39,13,12.92
enterprise,34700000,2006,1,6,9,5,7,34,2,18.39
software,12050000,2004,0,9,6,8,6,56,2,22.84
analytics,12000000,2006,1,6,8,10,9,28,11,11.12
consulting,5500000,2005,1,8,10,10,9,37,10,16.04
software,24000000,2007,1,8,6,9,6,7,10,20.79
mobile,10000000,2000,1,8,5,9,4,68,9,13.32
biotech,19009671,1999,0,8,8,6,9,37,8,8.36
cleantech,5000000,2005,0,9,7,7,7,56,3,14.5
enterprise,18914576,2001,1,7,6,9,8,65,14,6.1
software,4000000,2001,0,10,5,5,8,65,3,23.85
software,2030882,2008,1,5,9,9,5,47,11,6.5
cleantech,5000000,2006,1,8,10,6,5,20,6,13.77
software,20500000,1999,0,6,8,10,8,19,1,15.6
advertising,13250000,2006,1,8,6,6,8,29,7,24.71
security,12000000,2000,1,6,6,10,10,74,5,8.32
advertising,11489687,2005,1,10,7,10,7,60,2,7.29
web,4000000,2008,1,10,7,7,6,18,8,5.17
software,355000,2012,1,10,9,9,5,92,4,8.11
web,118000,2006,1,6,10,5,10,35,7,9.15
advertising,40400000,2003,1,8,9,5,10,43,6,17.61
software,3000000,2007,0,10,5,8,6,95,13,9.39
software,19700000,2003,0,9,5,10,10,91,7,5.41
software,17800000,1998,0,6,9,5,7,11,6,21.53
photo_video,57500000,2010,1,6,10,7,8,49,2,12.31
games_video,17200000,2006,1,8,9,10,9,38,1,12.07
mobile,457282,2008,0,6,10,7,6,64,6,11.05
mobile,18500000,2010,1,6,10,5,8,69,2,24.51
cleantech,12000000,2008,0,10,8,5,8,8,2,8.4
cleantech,510000000,2007,0,8,10,8,4,34,1,22.96
search,18250000,2002,1,10,7,5,6,48,3,20.54
music,41500019,2004,1,10,10,10,10,56,7,6.53
software,1000000,2000,0,8,10,10,9,76,11,24.73
web,5000000,2006,1,5,10,10,6,65,0,10.43
cleantech,42700000,2001,0,10,5,8,10,31,0,6.97
ecommerce,12000000,2013,0,9,7,8,8,4,11,21.59
software,22300000,2003,1,9,7,5,9,50,13,19.13
semiconductor,10000000,2002,1,6,9,6,10,69,4,17.34
advertising,15564591,2005,0,9,8,6,7,30,10,8.12
web,500000,2007,1,6,10,8,10,88,4,14.57
analytics,8950000,2010,1,5,6,5,4,59,10,20.61
finance,55350000,2006,1,8,8,6,8,67,11,11.07
public_relations,4000000,2002,0,8,8,5,10,75,0,11.23
software,10764323,2006,1,8,7,5,5,45,5,5.06
software,5500000,2007,0,9,8,5,5,4,0,8.48
social,400000,2008,1,5,10,9,4,26,4,22.51
cleantech,54000000,2007,0,9,10,10,7,27,8,13.83
software,32000000,1985,0,9,5,5,8,46,11,24.68
software,13000000,2000,1,5,10,9,6,64,13,12.91
software,12500000,2005,1,5,10,8,4,91,4,19.3
security,38064570,2004,1,5,7,6,7,51,5,10.64
web,6000000,2007,1,5,10,10,6,50,7,12.28
web,5000000,2006,0,8,5,6,5,6,10,8.81
software,59000000,2000,1,7,6,10,5,59,0,11.94
web,1000000,2011,0,7,7,6,6,15,13,15.94
web,600000,2007,1,5,6,10,4,30,1,24.84
mobile,125000000,2006,0,7,7,6,5,42,8,18.28
web,2750000,2007,1,7,9,6,8,37,2,8.98
network_hosting,30000000,2003,1,5,8,6,9,42,5,5.9
semiconductor,7000000,2003,0,7,9,6,10,35,4,7.53
search,6100000,2006,1,9,10,8,6,87,10,16.25
enterprise,2100000,2010,0,6,6,5,6,6,1,20.3
mobile,2565000,2009,1,6,10,7,5,68,13,23.81
biotech,2000000,1997,0,5,8,9,4,18,14,5.32
network_hosting,22400000,2003,1,8,7,7,8,73,6,15.46
ecommerce,6250000,2005,1,5,8,7,4,29,3,14.42
web,575000,2010,1,8,5,10,7,77,0,18.12
web,53000,2009,0,6,8,5,7,59,12,16.19
ecommerce,9500000,2006,1,5,5,10,9,47,3,18.74
enterprise,3500000,2009,0,10,8,5,5,17,5,18.16
photo_video,10500000,2009,1,9,5,5,5,96,6,7.34
cleantech,34250000,2008,1,7,6,6,5,22,14,20.99
biotech,85381111,2006,1,8,10,8,9,68,6,7.46
web,100000000,2000,1,10,10,6,7,69,13,18.97
advertising,125000,2009,0,7,9,8,4,37,6,13.32
mobile,10600000,2003,0,7,10,10,9,49,2,15.28
semiconductor,26100000,2004,1,5,7,8,9,13,5,23.07
web,30000000,2000,1,7,8,10,4,34,12,22.8
games_video,132885,2010,0,9,9,7,5,86,7,21.36
software,9500000,2006,1,10,7,7,8,53,3,15.2
network_hosting,18000000,2000,1,7,7,8,4,87,12,19.72
web,690000,2010,0,5,5,8,7,51,7,15.26
mobile,25131611,2001,1,9,10,10,6,3,1,22.39
hardware,2000000,2007,0,6,6,6,6,42,14,13.06
biotech,78750000,2004,1,10,6,10,10,98,9,24.4
advertising,48500000,2006,1,7,9,6,10,32,8,23.65
network_hosting,15000000,2005,0,5,6,7,9,51,8,19.83
analytics,74000000,2007,1,6,8,5,6,85,7,10.59
software,15000000,2005,1,6,6,8,8,46,9,7.63
games_video,45000000,2004,0,8,9,6,5,21,13,22.09
mobile,4410000,2006,1,9,6,10,7,44,12,8.31
web,4500000,2010,1,7,8,7,10,11,9,22.09
software,11040000,2007,1,5,5,6,8,68,0,14.82
games_video,1600000,2009,1,8,9,10,7,1,1,13.13
software,9000000,2002,1,9,5,8,7,92,5,23.06
analytics,3282327,2010,1,8,5,8,5,63,9,17.08
web,24700000,2002,1,10,5,9,9,24,4,16.53
semiconductor,8800000,2002,0,9,7,5,6,99,11,16.18
web,1700000,2007,0,9,10,9,5,13,13,12.42
web,20000,2010,0,7,7,7,8,98,8,20.71
mobile,11500000,2005,1,9,10,6,9,11,4,10.06
mobile,98170000,2001,0,8,5,7,8,51,1,23.78
web,1350000,2010,1,9,9,10,9,17,9,22.88
software,940261,2005,1,7,10,8,10,99,3,11.75
web,4000000,2007,1,7,8,9,8,82,8,19.59
web,5000000,2008,0,10,8,9,5,86,0,16.46
web,20000,2009,0,8,6,9,9,24,10,11.75
network_hosting,12500000,2002,1,6,10,7,9,19,0,24.77
finance,7228704,2009,0,6,9,8,7,37,11,5.5
biotech,55000000,2006,0,9,7,6,7,85,6,10.05
enterprise,15180000,2004,1,10,5,10,4,8,10,15.4
software,30000000,2008,0,5,6,6,8,28,2,15.44
network_hosting,14500000,2006,1,9,8,7,7,5,9,16.78
advertising,6500000,2009,1,10,7,10,4,17,1,20.03
web,15000,2012,0,8,7,9,10,36,8,17.47
mobile,4705910,2009,1,8,5,5,10,19,2,17.01
games_video,3000000,2008,1,8,10,7,7,64,1,6.07
web,125250000,2007,1,8,8,7,8,91,11,12.53
social,1449998,2008,0,8,9,8,9,98,7,9.64
mobile,6000000,2011,1,10,7,6,6,11,9,10.31
medical,28200000,2005,1,10,5,7,8,54,5,16.09
software,14000000,2005,1,7,9,7,5,45,5,8.99
enterprise,3000000,2007,0,6,10,9,10,47,9,10.88
enterprise,2238055,2010,0,8,8,9,7,12,10,9.74
photo_video,5200000,2010,0,5,10,10,7,21,6,23.97
ecommerce,75000000,2010,1,10,7,5,9,11,6,23.89
software,24500000,2006,0,5,9,8,5,92,10,17.2
advertising,4476171,2002,0,5,9,5,9,5,12,23.49
web,10400001,2007,1,5,9,10,5,81,14,20.72
network_hosting,68400000,2002,1,7,7,9,6,56,5,16.8
software,15200000,2004,1,10,7,6,10,20,3,5.13
mobile,890000,2011,0,5,10,9,7,41,10,20.45
mobile,2600000,2001,0,8,6,8,7,46,8,19.05
enterprise,1226270,2009,1,9,10,9,6,12,5,17.31
web,9000000,2002,1,5,8,8,4,70,3,20.21
enterprise,7210210,2004,1,7,5,8,10,17,11,15.26
automotive,15700000,2011,1,10,9,8,9,19,2,19.08
software,15050000,2000,1,7,6,10,6,26,3,23.7
games_video,3500000,2006,1,5,5,8,9,48,2,12.52
software,43000000,2000,0,10,6,8,8,52,14,19.16
web,57000000,2005,1,9,10,6,7,96,1,14.51
web,1300000,2007,1,5,7,5,9,70,13,18.49
games_video,69750000,2004,1,7,9,7,5,55,4,20.26
advertising,14500000,2001,1,6,10,5,9,75,1,5.91
hardware,48000000,2002,0,8,5,8,8,33,5,17.93
medical,3508462,2006,0,7,5,6,10,62,2,9.53
software,19500000,2002,1,10,5,9,7,88,5,18.4
mobile,3750000,2012,1,5,5,6,6,23,14,14.37
web,45000000,2010,0,8,5,8,8,15,10,20.47
enterprise,32500000,2005,0,5,6,6,7,27,9,7.47
enterprise,4900000,2000,1,10,10,6,9,75,8,17.53
advertising,12000000,2005,0,5,9,8,10,64,0,10.57
web,7175000,2006,1,6,7,10,4,81,5,22.06
